"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Ryan Purvis (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Daniel Hardy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Deangelo Peterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ryan Hewitt (TEN)","1","2","1","1.0","1","0","1","0","0","0","0","12","0.0","0.0","0.0%"
"Jerome Cunningham (DET)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"Kyle Nelson (SF)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"Clive Walford (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ben Koyack (JAC)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"Vince Mayle (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jake Fisher (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0",""
"Malcolm Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Gabe Holmes (IND)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"Will Tye (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Daniel Brown (NYJ)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"Ross Travis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Beau Brinkley (TEN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.1%"
"James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
