"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Emmanuel Arceneaux (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chastin West (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Eron Riley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Calvin (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Markus Wheaton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Charles Johnson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brittan Golden (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marqise Lee (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7%"
"Rashad Ross (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Freddie Martino (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"Diontae Spencer (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jaelen Strong (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Devin Smith (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Vince Mayle (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tre McBride (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jordan Taylor (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Duron Carter (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Geremy Davis (LAC)","0","1","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"Bradley Marquez (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"DeAndrew White (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Pharoh Cooper (ARI)","0","1","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.1%"
"Braxton Miller (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Ricardo Louis (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Tyler Ervin (BAL)","3","4","35","11.7","19","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"Alonzo Russell (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Keenan Reynolds (SEA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Johnny Holton (PIT)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Hunter Sharp (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Trevor Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"Moritz Bohringer (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
