"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Michael Burton (NO)","0","0","0","0","0","0","1","1","6","6.0","0","0","8","0.6","0.1","0.0%"
"Jeremy McNichols (TEN)","2","4","2.0","7","0","0","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"Dan Vitale (GB)","0","0","0","0","0","0","1","2","2","2.0","0","0","5","0.2","0.0","0.0%"
"Jonathan Williams (IND)","3","0","0.0","1","0","0","1","1","1","1.0","0","0","3","0.1","0.0","0.1%"
"Aaron Stecker (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ahman Green (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Albert Young (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Alvin Pearman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Antonio Pittman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"B.J. Askew (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brad Hoover (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Carey Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chris Henry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Clifton Smith (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Correll Buckhalter (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dan Kreider (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Deon Anderson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"DeShawn Wynn (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Edgerrin James (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Fred Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Gartrell Johnson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Gary Russell (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jamal Lewis (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jason McKie (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jason Wright (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Javarris Williams (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jeremi Johnson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Justin Fargas (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Justin Griffith (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kahlil Bell (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kenneth Darby (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kolby Smith (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Korey Hall (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kyle Eckel (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ladell Betts (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"LaMont Jordan (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"LenDale White (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Leonard Weaver (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Louis Rankin (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Luke Lawton (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marcus Mailei (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marcus Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Matt Lawrence (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Naufahu Tahi (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Oren O'Neal (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Quinton Ganther (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ryan Moats (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Terrelle Smith (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tim Castille (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Verron Haynes (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Willie Parker (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"J.J. Arrington (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Devin Moore (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Javarris James (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jehuu Caulcrick (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Reagan Maui'a (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Taiwan Jones (HOU)","0","0","0","0","0","0","0","2","0","0","0","0","6","0.0","0.0","0.0%"
"Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Isaac Odim (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Nick Bellore (SEA)","1","0","0.0","0","0","0","4","4","15","3.8","0","0","14","0.0","0.0","0.2%"
"Eddie Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ryan Mahaffey (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Rodney Stewart (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
