"Rank","Player","Team","Position","Points","Games","Avg"
"295","Mike Davis","CHI","RB","37.1","6","6.2"
"296","Benny Cunningham","JAC","RB","36.9","14","2.6"
"297","Kyle Juszczyk","SF","RB","36.6","14","2.6"
"298","Mike Tolbert","FA","RB","36.5","12","3.0"
"299","Malcolm Brown","LAR","RB","35.9","11","3.3"
"300","Johnny Holton","PIT","WR","35.8","12","3.0"
"301","Ricardo Louis","MIA","WR","35.7","14","2.6"
"301","Darren Fells","HOU","TE","35.7","14","2.6"
"301","Gerald Everett","LAR","TE","35.7","14","2.6"
"302","Zach Miller","FA","TE","35.6","8","4.5"
"303","Tyler Higbee","LAR","TE","35.5","14","2.5"
"304","Rhett Ellison","NYG","TE","35.5","14","2.5"
"304","Corey Davis","TEN","WR","35.5","11","3.2"
"305","Chester Rogers","IND","WR","35.2","10","3.5"
"306","Tyler Boyd","CIN","WR","34.5","10","3.5"
"307","A.J. Derby","FA","TE","34.4","11","3.1"
"308","T.J. Yates","FA","QB","34.0","4","8.5"
"309","Nick Foles","JAC","QB","33.8","7","4.8"
"309","Kevin Hogan","DEN","QB","33.8","4","8.5"
"310","Wendell Smallwood","PHI","RB","33.7","8","4.2"
"311","Mike Glennon","OAK","QB","33.6","4","8.4"
"312","Taywan Taylor","TEN","WR","33.4","16","2.1"
"313","Jordan Reed","WAS","TE","33.1","6","5.5"
"314","Chris Carson","SEA","RB","32.7","4","8.2"
"315","Jordan Matthews","SF","WR","32.2","10","3.2"
"316","Jarius Wright","CAR","WR","31.8","12","2.7"
"317","Jakeem Grant","MIA","WR","31.5","15","2.1"
"318","Adam Shaheen","CHI","TE","30.7","7","4.4"
"319","Andre Holmes","FA","WR","30.0","10","3.0"
"320","Terrelle Pryor","JAC","WR","30.0","8","3.8"
"321","Tion Green","FA","RB","29.9","5","6.0"
"322","Tavon Austin","DAL","WR","29.7","14","2.1"
"323","Nick Folk","FA","K","29.0","4","7.3"
"324","Mack Hollins","PHI","WR","28.6","12","2.4"
"324","Martellus Bennett","FA","TE","28.6","9","3.2"
"325","Demetrius Harris","CLE","TE","28.4","13","2.2"
"326","Elijhaa Penny","NYG","RB","28.2","10","2.8"
"327","Russell Shepard","NYG","WR","28.1","14","2.0"
"328","Jonnu Smith","TEN","TE","27.7","14","2.0"
"329","Michael Campanaro","FA","WR","27.5","13","2.1"
"330","Travis Coons","FA","K","27.0","3","9.0"
"331","Sam Bradford","FA","QB","26.9","2","13.5"
"332","De'Anthony Thomas","FA","WR","26.7","14","1.9"
"332","Kapri Bibbs","FA","RB","26.7","3","8.9"
"333","Lance Kendricks","FA","TE","26.3","13","2.0"
"334","Jeff Heuerman","DEN","TE","26.2","10","2.6"
"335","Terrance West","FA","RB","26.1","5","5.2"
"336","Cairo Santos","TB","K","26.0","5","5.2"
"337","Kendrick Bourne","SF","WR","25.7","10","2.6"
"338","Danny Woodhead","FA","RB","25.6","8","3.2"
"339","Bryce Petty","FA","QB","25.4","4","6.4"
"340","Virgil Green","LAC","TE","25.1","11","2.3"
"341","Greg Olsen","CAR","TE","25.1","7","3.6"
"342","Vance McDonald","PIT","TE","24.8","10","2.5"
"343","Levine Toilolo","SF","TE","24.2","10","2.4"
"344","Dion Sims","FA","TE","24.0","12","2.0"
"345","Ryan Griffin","FA","TE","23.8","6","4.0"
"346","Damiere Byrd","ARI","WR","23.7","8","3.0"
"347","Jeremy Kerley","FA","WR","23.7","8","3.0"
"348","Alex Erickson","CIN","WR","23.6","16","1.5"
"349","Geronimo Allison","GB","WR","23.3","12","1.9"
"350","Thomas Rawls","JAC","RB","23.1","9","2.6"
"351","Tommy Bohanon","FA","RB","22.8","12","1.9"
"352","Eddie Lacy","FA","RB","22.6","9","2.5"
"353","Braxton Miller","PHI","WR","22.3","10","2.2"
"353","Nick Boyle","BAL","TE","22.3","15","1.5"
"354","Richard Rodgers","PHI","TE","22.0","9","2.4"
"355","Travaris Cadet","FA","RB","21.5","7","3.1"
"356","Demarcus Robinson","KC","WR","21.2","10","2.1"
"357","James O'Shaughnessy","JAC","TE","20.9","15","1.4"
"358","Phillip Dorsett","NE","WR","20.1","10","2.0"
"359","Laquon Treadwell","MIN","WR","20.0","13","1.5"
"360","David Fales","DET","QB","19.4","2","9.7"
"361","Troy Niklas","FA","TE","19.2","11","1.7"
"362","Brent Celek","FA","TE","19.0","12","1.6"
"362","Younghoe Koo","FA","K","19.0","4","4.8"
"363","Eli Rogers","PIT","WR","18.9","12","1.6"
"364","Nick Vannett","SEA","TE","18.4","10","1.8"
"365","Louis Murphy","FA","WR","18.1","6","3.0"
"365","Eric Tomlinson","NYJ","TE","18.1","9","2.0"
"366","Curtis Samuel","CAR","WR","17.9","8","2.2"
"367","Chris Conley","JAC","WR","17.5","5","3.5"
"368","Kenjon Barner","ATL","RB","17.3","13","1.3"
"369","Tommylee Lewis","DET","WR","17.0","14","1.2"
"370","Robert Turbin","FA","RB","16.9","6","2.8"
"371","Stevan Ridley","FA","RB","16.8","2","8.4"
"372","Anthony Fasano","FA","TE","16.7","9","1.9"
"373","Josh Reynolds","LAR","WR","16.4","10","1.6"
"374","Jaydon Mickens","FA","WR","15.7","10","1.6"
"375","Chris Johnson","FA","RB","15.7","4","3.9"
"375","Cameron Artis-Payne","CAR","RB","15.7","7","2.2"
"376","David Morgan","MIN","TE","15.5","9","1.7"
"377","Brandon Marshall","FA","WR","15.4","5","3.1"
"378","D.J. Foster","ARI","RB","15.2","7","2.2"
"379","C.J. Uzomah","CIN","TE","15.2","11","1.4"
"380","Paxton Lynch","SEA","QB","15.1","2","7.6"
"381","James Hanna","FA","TE","14.8","8","1.9"
"382","Anthony Sherman","KC","RB","14.7","7","2.1"
"383","Dwayne Allen","MIA","TE","14.6","12","1.2"
"384","Tre McBride","JAC","WR","14.4","5","2.9"
"385","James Conner","PIT","RB","14.4","12","1.2"
"386","Jordan Taylor","MIN","WR","14.2","10","1.4"
"387","CJ Ham","MIN","RB","14.1","14","1.0"
"387","EJ Manuel","FA","QB","14.1","2","7.1"
"388","Brandon Tate","FA","WR","14.1","13","1.1"
"389","Darrius Heyward-Bey","FA","WR","13.9","9","1.5"
"390","Josh Hill","NO","TE","13.7","10","1.4"
"391","Jamize Olawale","DAL","RB","13.6","7","1.9"
"392","Paul Perkins","NYG","RB","13.6","8","1.7"
"393","Kamar Aiken","FA","WR","13.3","13","1.0"
"394","Maxx Williams","ARI","TE","13.2","9","1.5"
"395","Jeremy Hill","FA","RB","13.2","7","1.9"
"396","Caleb Sturgis","FA","K","13.0","1","13.0"
"397","Daniel Brown","NYJ","TE","12.9","9","1.4"
"398","Brenton Bersin","FA","WR","12.8","6","2.1"
"399","Logan Thomas","DET","TE","12.7","5","2.5"
"399","C.J. Fiedorowicz","FA","TE","12.7","5","2.5"
"400","Roosevelt Nix","PIT","RB","12.6","10","1.3"
"401","Fozzy Whittaker","FA","RB","12.5","10","1.3"
"401","Josh Malone","CIN","WR","12.5","9","1.4"
"402","Terron Ward","FA","RB","12.3","5","2.5"
"403","Maurice Harris","NE","WR","12.2","4","3.1"
"404","Brandon Williams","FA","TE","12.1","9","1.3"
"405","Marvin Hall","CHI","WR","12.0","6","2.0"
"406","Darren Sproles","FA","RB","11.4","3","3.8"
"406","Hunter Sharp","CIN","WR","11.4","3","3.8"
"407","Michael Hoomanawanui","FA","TE","11.2","7","1.6"
"407","Lance Dunbar","FA","RB","11.2","2","5.6"
"408","C.J. Prosise","SEA","RB","11.0","4","2.8"
"409","De'Angelo Henderson","NYJ","RB","10.9","3","3.6"
"409","Branden Oliver","FA","RB","10.9","8","1.4"
"410","ArDarius Stewart","FA","WR","10.9","12","0.9"
"411","Trey Edmunds","PIT","RB","10.8","7","1.5"
"412","Andy Janovich","DEN","RB","10.7","12","0.9"
"413","Nathan Peterman","OAK","QB","10.4","4","2.6"
"413","Patrick Mahomes","KC","QB","10.4","1","10.4"
"414","Travis Rudolph","FA","WR","10.1","6","1.7"
"415","Austin Traylor","FA","TE","10.0","5","2.0"
"415","Sam Ficken","GB","K","10.0","2","5.0"
"416","Ryan Mallett","FA","QB","9.9","2","5.0"
"417","Phillip Supernaw","FA","TE","9.9","9","1.1"
"418","Jaelen Strong","CLE","WR","9.8","2","4.9"
"419","Niles Paul","FA","TE","9.8","11","0.9"
"420","Geno Smith","SEA","QB","9.7","2","4.9"
"421","Zach Line","NO","RB","9.6","8","1.2"
"421","Freddie Martino","FA","WR","9.6","7","1.4"
"422","Mike Williams","LAC","WR","9.5","9","1.1"
"423","Chad Hansen","NO","WR","9.4","8","1.2"
"424","Mike Thomas","LAR","WR","9.3","5","1.9"
"425","Kaelin Clay","FA","WR","9.2","13","0.7"
"425","Jerell Adams","HOU","TE","9.2","7","1.3"
"425","Xavier Grimble","PIT","TE","9.2","8","1.2"
"426","Luke Stocker","ATL","TE","9.0","4","2.3"
"427","Landry Jones","FA","QB","8.6","3","2.9"
"427","Zach Zenner","DET","RB","8.6","7","1.2"
"427","Bobo Wilson","TB","WR","8.6","3","2.9"
"428","Chris Thompson","FA","WR","8.4","12","0.7"
"429","Kasen Williams","FA","WR","8.4","6","1.4"
