"Rank","Player","Team","Points","Games","Avg"
"174","Jordan Leslie","FA","2.6","1","2.6"
"174","Ryan Switzer","PIT","2.6","16","0.2"
"175","Chris Matthews","FA","2.5","4","0.6"
"175","Marcus Johnson","IND","2.5","6","0.4"
"176","DeAndrew White","CAR","2.4","2","1.2"
"177","Jehu Chesson","WAS","1.8","5","0.4"
"178","Allen Robinson","CHI","1.7","1","1.7"
"179","Darius Powe","FA","1.3","1","1.3"
"180","Jeff Janis","FA","1.2","7","0.2"
"180","Arrelious Benn","FA","1.2","4","0.3"
"181","Shelton Gibson","PHI","1.1","2","0.6"
"182","Cobi Hamilton","FA","0.8","2","0.4"
"182","Harry Douglas","FA","0.8","1","0.8"
"182","","","0.8","2","0.4"
"183","Kevin White","ARI","0.6","1","0.6"
"184","Larry Pinkard","FA","0.5","2","0.3"
"184","Eric Weems","FA","0.5","11","0.0"
"185","Max McCaffrey","SF","0.4","2","0.2"
"186","Charone Peake","NYJ","0.3","1","0.3"
"187","Matt Hazel","FA","0.1","2","0.1"
"188","Brandon Banks","FA","0.0","1","0.0"
"188","Cody Core","CIN","0.0","5","0.0"
"188","Marquis Bundy","FA","0.0","1","0.0"
"188","Andy Jones","DET","0.0","1","0.0"
"188","Dwayne Harris","OAK","0.0","5","0.0"
"188","Isaac Whitney","HOU","0.0","1","0.0"
"188","Jace Billingsley","FA","0.0","1","0.0"
"188","K.J. Brent","TB","0.0","1","0.0"
"188","Victor Bolden Jr.","BUF","0.0","8","0.0"
"188","Justin Hardee","NO","0.0","7","0.0"
"188","Krishawn Hogan","IND","0.0","2","0.0"
"188","Stacy Coley","FA","0.0","2","0.0"
"188","Ed Eagan","FA","0.0","4","0.0"
"188","Griff Whalen","FA","0.0","2","0.0"
"188","Matt Slater","NE","0.0","6","0.0"
"189","Isaiah McKenzie","BUF","-0.7","11","-0.1"
"190","Andre Roberts","BUF","-0.8","16","-0.1"
"190","John Ross","CIN","-0.8","3","-0.3"
"191","Kalif Raymond","TEN","-0.9","8","-0.1"
""
""
